Planta; descripcion;CORRELATIVO;FACTURA FISICA;Descripción/Item;Proveedor/Vendor;Factura n°;Planta;Ubicación;Ubicación en Planta;Fecha de compra;Fecha Adj. Concesión;Fecha termino Concesion;Fecha comienzo op;Vida util s/ Concesion;Vida útil tributaria (meses);Valor de Origen
AB1307;Edificios;73;SI;ESTUDIO FACTIBILIDAD VIAL PRT MELIPILLA;SERVICIOS DE INGENIERIA JORGE WASHINGTON LIMITADA;47;MELIPILLA;;;06-11-2015;10-11-2015;10-11-2023;01-12-2018;78;120;255140
AB1307;Edificios;74;SI;CALIFATAS TERRENO RANCAGUA;LUIS ANTONIO CANALES MIRANDA;163;MELIPILLA;;;16-11-2015;10-11-2015;10-11-2023;01-12-2018;78;120;100000
AB1307;Edificios;74;SI;PLANO CON TOPOGRAFIA DE DETALLE SEGÚN REQUERIMEINTO CON DETALLE EXTERIOR Y CURVAS DE NIVEL CON GPS;LUIS ANTONIO CANALES MIRANDA;163;MELIPILLA;;;16-11-2015;10-11-2015;10-11-2023;01-12-2018;78;120;500000
AB1307;Edificios;74;SI;SUBDIVISION MELIPILLA;LUIS ANTONIO CANALES MIRANDA;163;MELIPILLA;;;16-11-2015;10-11-2015;10-11-2023;01-12-2018;78;120;880000
AB1307;Edificios;35;SI;CONSTRUCCIÓN;LUIS ANTONIO CANALES MIRANDA;164;MELIPILLA;CONSTRUCCIÓN;;02-12-2015;10-11-2015;10-11-2023;01-12-2018;78;120;28165753
AB1307;Edificios;75;SI;ESTUDIO FACTIBILIDAD VIAL PRT MELIPILLA;SERVICIOS DE INGENIERIA JORGE WASHINGTON LIMITADA;56;MELIPILLA;;;16-12-2015;10-11-2015;10-11-2023;01-12-2018;78;120;255140
AB1307;Edificios;67;SI;ESTUDIO ANALISIS VIAL BASICO PRT;SERVICIOS DE INGENIERIA JORGE WASHINGTON LIMITADA;59;MELIPILLA;;;05-01-2016;10-11-2015;10-11-2023;01-12-2018;78;120;998894
AB1307;Edificios;76;SI;ESTUDIO ANALISIS VIAL BASICO PRT ;SERVICIOS DE INGENIERIA JORGE WASHINGTON LIMITADA;65;MELIPILLA;;;28-01-2016;10-11-2015;10-11-2023;01-12-2018;78;120;669771
AB1307;Edificios;47;SI;ASESORIA EN COMPRA DE PROPIEDAD UBICADA EN MELIPILLA, PARCELAS UNO Y DOS LOS JAZMINES;ASESORIAS LAM S.p.A;17;MELIPILLA;;;22-09-2016;10-11-2015;10-11-2023;01-12-2018;78;120;5400000
AB1307;Edificios;69;SI;CALICATA MELIPILLA;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;1;MELIPILLA;;;13-10-2016;10-11-2015;10-11-2023;01-12-2018;78;120;150000
AB1307;Edificios;70;SI;TOPOGRAFIA MELIPILLA;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;2;MELIPILLA;;;13-10-2016;10-11-2015;10-11-2023;01-12-2018;78;120;500000
AB1307;Edificios;68;SI;ESTUDIO ANALISIS VIAL BASICO PRT;SERVICIOS DE INGENIERIA JORGE WASHINGTON LIMITADA;46;MELIPILLA;;;29-10-2016;10-11-2015;10-11-2023;01-12-2018;78;120;998894
AB1307;Edificios;36;SI;CONSTRUCCIÓN;INGEMAB INGENIERIA Y CONSULTORIA SPA;480;MELIPILLA;CONSTRUCCIÓN;;10-11-2016;10-11-2015;10-11-2023;01-12-2018;78;120;1549753
AB1307;Edificios;48;SI;VISITA A TERRENO MELIPILLA;SOC DE CONTROL DE CALIDAD E INSPECCIONES LIMITADA;570;MELIPILLA;;;10-11-2016;10-11-2015;10-11-2023;01-12-2018;78;120;60000
AB1307;Edificios;48;SI;COEFICIENTE DE EMPUJE;SOC DE CONTROL DE CALIDAD E INSPECCIONES LIMITADA;570;MELIPILLA;;;10-11-2016;10-11-2015;10-11-2023;01-12-2018;78;120;100000
